(KEYFUNCTION),(KEYPARAMINDEX),(CONVERTRULE),(ASSISTRULE),(COMBINERULE),(CONSTRUCTASSISTBEH),(CONSTRUCTBEHAVIOR),(TYPE)
ShowCursor,00||,00|BOOL||,NULL,NULL,NULL,cursor_show,4
ShowWindow,00|01||,01|nCmdShow||,00|Handle||,NULL,NULL,window_show,4
Sleep,00||,NULL,NULL,NULL,NULL,sleep,4
SleepEx,00||,NULL,NULL,NULL,NULL,sleep,4
SystemParametersInfo,NULL,NULL,NULL,NULL,NULL,system_info_get,4
VirtualQuery,00||,NULL,00|Address||,NULL,NULL,NULL,4
VirtualQueryEx,01||,NULL,00|Address||,NULL,NULL,NULL,4
WaveInOpen,NULL,NULL,NULL,NULL,NULL,MicOpen,4
waveInReset,NULL,NULL,NULL,NULL,NULL,MicReset,4
waveInstart,NULL,NULL,NULL,NULL,NULL,MicOpen,4
waveInStop,NULL,NULL,NULL,NULL,NULL,MicStop,4
waveOutOpen,NULL,NULL,NULL,NULL,NULL,broadcast_open,4
waveOutWrite,NULL,NULL,NULL,NULL,NULL,broadcast_write,4
bind,01||,NULL,NULL,NULL,NULL,bind,5
CoInternetCreateSecurityManager,NULL,NULL,NULL,NULL,NULL,internet_manager_opreate,5
CoInternetCreateZoneManager,NULL,NULL,NULL,NULL,NULL,internet_manager_opreate,5
connect,01||,NULL,NULL,NULL,NULL,socket_connect,5
DeleteUrlCacheEntry,00||,NULL,NULL,NULL,NULL,url_cacheentry_delete,5
DnsQuery_,00|06||,NULL,NULL,NULL,NULL,dns_query,5
DnsQuery_A,00|06||,NULL,NULL,NULL,NULL,dns_query,5
DnsQuery_UTF8,00|06||,NULL,NULL,NULL,NULL,dns_query,5
DnsQuery_W,00|06||,NULL,NULL,NULL,NULL,dns_query,5
FindCloseUrlCache,NULL,NULL,NULL,NULL,NULL,cache_find_close,5
FindFirstUrlCacheEntry,NULL,NULL,NULL,NULL,NULL,network_cache_operate,5
